epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,278.807,1.37097,2.39327,1.33022,0.15367,0.15513,0.03523,0.01747,2.29008,4.00358,2.40068,0.070375,0.00329167,0.00329167
2,565.077,1.52112,2.09072,1.45645,0.23397,0.35543,0.16757,0.08449,1.70413,10.1412,1.9724,0.0402438,0.00649382,0.00649382
1,16.0026,1.34799,2.37775,1.32704,0.22385,0.08634,0.00083,0.0002,3.08848,111.913,5.08162,0.070375,0.00329167,0.00329167
2,30.6713,1.4354,1.99639,1.45631,0.2512,0.30147,0.16404,0.08649,1.72722,5.69402,1.69732,0.0402438,0.00649382,0.00649382
3,44.6429,1.44424,1.88484,1.44045,0.50018,0.34092,0.24083,0.14132,1.43419,2.10348,1.60164,0.00998065,0.00956398,0.00956398
4,59.3384,1.3992,1.81006,1.42829,0.33633,0.43007,0.30542,0.17624,1.447,3.16387,1.5251,0.009406,0.009406,0.009406
5,73.6094,1.33371,1.67375,1.3695,0.4019,0.3492,0.3485,0.19479,1.36545,1.94439,1.45722,0.009208,0.009208,0.009208
6,88.6278,1.28041,1.60762,1.32903,0.54997,0.45295,0.3454,0.19824,1.31734,1.98906,1.40866,0.00901,0.00901,0.00901
7,102.894,1.22517,1.52539,1.30564,0.53512,0.50937,0.5778,0.40348,1.07303,1.55227,1.18489,0.008812,0.008812,0.008812
8,117.672,1.17556,1.41762,1.27171,0.53227,0.4878,0.54332,0.34968,1.14001,1.50254,1.27548,0.008614,0.008614,0.008614
9,132.169,1.20646,1.43313,1.28504,0.7197,0.5813,0.67826,0.44568,1.1431,1.27763,1.20862,0.008416,0.008416,0.008416
10,146.408,1.17118,1.37169,1.26542,0.74149,0.51316,0.60783,0.41711,0.99888,1.36156,1.15602,0.008218,0.008218,0.008218
11,160.93,1.12391,1.31915,1.22679,0.68047,0.52877,0.57738,0.39392,1.03546,1.31881,1.16972,0.00802,0.00802,0.00802
12,175.356,1.09163,1.25922,1.21046,0.39389,0.68146,0.60506,0.38963,1.11696,1.37568,1.17794,0.007822,0.007822,0.007822
13,190.783,1.0984,1.25956,1.20929,0.45708,0.73597,0.58658,0.41703,0.94258,1.20667,1.13633,0.007624,0.007624,0.007624
