epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,30.3593,1.48527,2.27288,1.36213,0.23618,0.38415,0.2504,0.13246,1.59291,5.20492,1.73378,0.0701449,0.00331723,0.00331723
2,59.6554,1.58133,1.994,1.45244,0.39712,0.29899,0.32424,0.19874,1.64823,2.67192,1.56159,0.0400132,0.00651888,0.00651888
3,90.4346,1.49758,1.84691,1.41306,0.49433,0.47431,0.44597,0.27502,1.40315,1.83368,1.4923,0.00974957,0.00958853,0.00958853
4,121.07,1.44307,1.7665,1.38281,0.54527,0.47003,0.46024,0.31561,1.21892,1.83813,1.36665,0.009406,0.009406,0.009406
5,151.813,1.38203,1.6347,1.35124,0.48404,0.55119,0.49995,0.35402,1.19823,1.72283,1.30366,0.009208,0.009208,0.009208
6,182.721,1.34964,1.58342,1.32839,0.57646,0.54524,0.56496,0.40091,1.20095,1.56942,1.30016,0.00901,0.00901,0.00901
7,214.549,1.27461,1.49419,1.28622,0.43763,0.57678,0.52901,0.37347,1.12122,1.55484,1.28049,0.008812,0.008812,0.008812
8,245.614,1.24498,1.44603,1.26832,0.57445,0.6065,0.63404,0.47778,1.05441,1.32146,1.22831,0.008614,0.008614,0.008614
9,276.313,1.23917,1.4097,1.26688,0.48136,0.54202,0.51163,0.37989,1.0701,1.64674,1.24784,0.008416,0.008416,0.008416
10,307.239,1.20335,1.36398,1.23655,0.50865,0.68969,0.59196,0.43236,1.03753,1.47668,1.21063,0.008218,0.008218,0.008218
11,338.283,1.18217,1.34675,1.23866,0.55932,0.62179,0.58414,0.4212,1.03185,1.34201,1.20243,0.00802,0.00802,0.00802
12,369.008,1.1605,1.32491,1.22428,0.47216,0.68833,0.59124,0.4365,0.96288,1.2992,1.1768,0.007822,0.007822,0.007822
13,400.05,1.13731,1.28036,1.21569,0.49943,0.64279,0.58929,0.44924,0.96434,1.2722,1.20586,0.007624,0.007624,0.007624
14,430.881,1.12095,1.27677,1.2022,0.56753,0.60723,0.64005,0.49555,0.89152,1.21858,1.12805,0.007426,0.007426,0.007426
15,462.533,1.09944,1.24243,1.19102,0.6136,0.63772,0.64033,0.48467,1.04286,1.27366,1.21971,0.007228,0.007228,0.007228
16,493.377,1.06957,1.21419,1.18076,0.52691,0.63783,0.61715,0.46504,0.92919,1.2005,1.15548,0.00703,0.00703,0.00703
17,524.44,1.07334,1.20982,1.17947,0.55786,0.70364,0.69702,0.54681,0.87102,1.14661,1.12975,0.006832,0.006832,0.006832
18,556.024,1.05247,1.1846,1.1767,0.63024,0.66837,0.65873,0.49424,0.94405,1.11902,1.15457,0.006634,0.006634,0.006634
19,586.874,1.05094,1.16865,1.17253,0.57083,0.72863,0.68186,0.54,0.86486,1.08326,1.11025,0.006436,0.006436,0.006436
20,617.611,1.03577,1.16181,1.16485,0.63432,0.685,0.67826,0.5538,0.82576,1.09904,1.09299,0.006238,0.006238,0.006238
21,645.103,1.01103,1.12293,1.148,0.60945,0.66579,0.64077,0.5179,0.85251,1.12147,1.10923,0.00604,0.00604,0.00604
22,672.655,1.01074,1.10301,1.14358,0.63463,0.59026,0.60622,0.47386,0.90405,1.1686,1.14364,0.005842,0.005842,0.005842
23,702.137,0.99915,1.09108,1.13987,0.66114,0.6056,0.68459,0.55291,0.81591,1.08021,1.08767,0.005644,0.005644,0.005644
24,733.211,1.01583,1.10581,1.14961,0.64184,0.68617,0.6741,0.54668,0.83729,1.0391,1.10815,0.005446,0.005446,0.005446
25,764.475,0.97754,1.06403,1.1279,0.54333,0.75045,0.65803,0.50844,0.88355,1.11921,1.15794,0.005248,0.005248,0.005248
26,795.594,0.9651,1.06547,1.1271,0.66061,0.69583,0.69073,0.55564,0.82282,1.09362,1.10164,0.00505,0.00505,0.00505
27,827.888,0.97163,1.05422,1.12951,0.67244,0.69786,0.7023,0.5672,0.77138,0.97839,1.05678,0.004852,0.004852,0.004852
28,859.799,0.95911,1.02828,1.12097,0.66133,0.71349,0.70476,0.56506,0.81556,0.9971,1.08812,0.004654,0.004654,0.004654
29,892.345,0.9385,1.00885,1.10755,0.67347,0.7249,0.71183,0.56645,0.84992,0.9724,1.09279,0.004456,0.004456,0.004456
30,923.393,0.93044,0.99364,1.10527,0.66539,0.76354,0.73276,0.59909,0.7716,0.95691,1.07904,0.004258,0.004258,0.004258
31,954.772,0.91207,0.96166,1.08619,0.65031,0.68365,0.66952,0.53949,0.76951,1.11389,1.0681,0.00406,0.00406,0.00406
32,986.841,0.89913,0.95257,1.09223,0.66477,0.763,0.754,0.59747,0.7467,0.96674,1.06643,0.003862,0.003862,0.003862
33,1017.86,0.88871,0.94185,1.08359,0.66456,0.69774,0.68776,0.56291,0.77397,1.00764,1.08084,0.003664,0.003664,0.003664
34,1048.83,0.89299,0.94448,1.08321,0.60322,0.76518,0.69252,0.56829,0.72716,0.99451,1.04125,0.003466,0.003466,0.003466
35,1079.77,0.88208,0.91608,1.07982,0.68338,0.6973,0.68806,0.56547,0.7413,0.98682,1.04885,0.003268,0.003268,0.003268
36,1110.87,0.86364,0.88022,1.06757,0.61447,0.74923,0.67174,0.54426,0.75798,1.06343,1.06391,0.00307,0.00307,0.00307
37,1142.31,0.85377,0.89488,1.07204,0.71737,0.71141,0.7392,0.61247,0.70944,0.9351,1.04067,0.002872,0.002872,0.002872
38,1173.69,0.85464,0.8845,1.06654,0.62562,0.7486,0.70444,0.58319,0.74954,0.98989,1.04901,0.002674,0.002674,0.002674
39,1204.49,0.8291,0.85498,1.04892,0.67074,0.69717,0.71812,0.60747,0.69581,0.91564,1.03275,0.002476,0.002476,0.002476
40,1235.49,0.82241,0.84489,1.05032,0.62677,0.68519,0.68533,0.5678,0.733,1.02646,1.03773,0.002278,0.002278,0.002278
41,1278.24,0.76897,0.77634,1.03491,0.68397,0.70844,0.71989,0.59447,0.73902,0.92949,1.0563,0.00208,0.00208,0.00208
42,1308.18,0.75154,0.72955,1.0343,0.70264,0.64502,0.69381,0.58133,0.73309,0.99084,1.04351,0.001882,0.001882,0.001882
43,1338.33,0.72303,0.68627,1.00677,0.72098,0.73849,0.71818,0.5939,0.73542,0.95401,1.05374,0.001684,0.001684,0.001684
44,1368.44,0.71169,0.67196,0.99916,0.70864,0.76128,0.73786,0.61335,0.72269,0.94812,1.05229,0.001486,0.001486,0.001486
45,1398.7,0.69328,0.65056,0.99568,0.66251,0.75137,0.71613,0.60543,0.69646,0.95814,1.03328,0.001288,0.001288,0.001288
46,1429,0.68319,0.63224,0.98725,0.64765,0.71589,0.69432,0.59184,0.69944,0.99623,1.02666,0.00109,0.00109,0.00109
47,1459.16,0.66616,0.60544,0.97544,0.752,0.65791,0.71932,0.61219,0.68304,0.95027,1.0208,0.000892,0.000892,0.000892
48,1489.12,0.64987,0.59147,0.97714,0.74093,0.71078,0.74031,0.61512,0.69039,0.9572,1.02885,0.000694,0.000694,0.000694
49,1519.33,0.62857,0.56372,0.96164,0.68469,0.75817,0.75443,0.63507,0.69275,0.9096,1.02432,0.000496,0.000496,0.000496
50,1549.38,0.61588,0.5488,0.9542,0.74404,0.72811,0.75843,0.63627,0.66893,0.89486,1.01419,0.000298,0.000298,0.000298
