epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,50.5449,1.45369,2.40678,1.44034,0.19883,0.42631,0.15201,0.07608,1.845,16.1136,2.05921,0.0701449,0.00331723,0.00331723
2,97.0167,1.54012,2.07782,1.5302,0.79538,0.17914,0.2,0.10605,2.02045,4.91841,2.02183,0.0400132,0.00651888,0.00651888
3,139.211,1.46079,1.91712,1.48062,0.59322,0.44141,0.42111,0.25673,1.46497,2.2269,1.51195,0.00974957,0.00958853,0.00958853
4,178.141,1.41396,1.82089,1.44655,0.3751,0.55863,0.44155,0.30763,1.24889,1.82265,1.34723,0.009406,0.009406,0.009406
5,222.011,1.32884,1.69955,1.38685,0.5722,0.46412,0.47729,0.33673,1.13429,1.88664,1.28939,0.009208,0.009208,0.009208
6,268.269,1.29811,1.63034,1.37139,0.43364,0.52237,0.49045,0.33833,1.21058,1.60319,1.29948,0.00901,0.00901,0.00901
7,314.414,1.24709,1.52104,1.32849,0.48155,0.53842,0.46945,0.34115,1.15492,1.95332,1.30953,0.008812,0.008812,0.008812
8,361.482,1.2016,1.44686,1.29805,0.49747,0.65102,0.57044,0.42261,0.95801,1.59959,1.16399,0.008614,0.008614,0.008614
9,406.834,1.21095,1.45983,1.30301,0.48673,0.51318,0.55559,0.41643,1.06892,1.63031,1.19519,0.008416,0.008416,0.008416
10,454.157,1.17421,1.40004,1.2717,0.60342,0.58928,0.56544,0.4254,1.03225,1.39,1.18607,0.008218,0.008218,0.008218
11,494.671,1.16318,1.42266,1.271,0.52338,0.51639,0.53301,0.39417,1.02797,1.37888,1.17947,0.00802,0.00802,0.00802
12,532.738,1.15012,1.38226,1.26073,0.49866,0.6994,0.59897,0.43997,0.96328,1.48999,1.15691,0.007822,0.007822,0.007822
13,570.462,1.11997,1.33051,1.23816,0.52348,0.63402,0.59714,0.4317,1.03396,1.37906,1.19176,0.007624,0.007624,0.007624
14,606.048,1.08725,1.29991,1.22226,0.65977,0.62021,0.64118,0.47502,0.97528,1.25392,1.16822,0.007426,0.007426,0.007426
15,642.736,1.09749,1.27617,1.22591,0.6633,0.60447,0.62054,0.48923,0.9138,1.26744,1.12003,0.007228,0.007228,0.007228
16,678.522,1.06612,1.24919,1.21094,0.44429,0.67687,0.56731,0.43727,0.92978,1.3105,1.15109,0.00703,0.00703,0.00703
17,718.75,1.06939,1.25634,1.21655,0.54111,0.58088,0.5694,0.44679,0.95243,1.34348,1.15076,0.006832,0.006832,0.006832
18,757.643,1.03734,1.26138,1.20569,0.66652,0.55224,0.63434,0.48132,0.8873,1.19888,1.11176,0.006634,0.006634,0.006634
19,795.511,1.04885,1.24238,1.21211,0.56273,0.61624,0.58478,0.43063,0.98371,1.38111,1.14746,0.006436,0.006436,0.006436
20,833.288,1.00507,1.18194,1.18221,0.49784,0.74531,0.66907,0.54585,0.78422,1.07285,1.03815,0.006238,0.006238,0.006238
21,871.433,0.98637,1.15716,1.17344,0.58818,0.51909,0.54188,0.42526,0.85399,1.26498,1.09727,0.00604,0.00604,0.00604
22,910.489,0.96957,1.14318,1.15903,0.60911,0.62565,0.62124,0.48528,0.87311,1.31612,1.11111,0.005842,0.005842,0.005842
23,948.173,0.96726,1.13137,1.15663,0.6624,0.67475,0.68089,0.53091,0.86148,1.05778,1.08617,0.005644,0.005644,0.005644
24,985.493,0.98144,1.1516,1.17368,0.57919,0.68284,0.60527,0.48483,0.84841,1.14764,1.08088,0.005446,0.005446,0.005446
25,1023.51,0.93648,1.09965,1.14412,0.57411,0.70005,0.64402,0.50867,0.78913,1.1446,1.06335,0.005248,0.005248,0.005248
26,1061.4,0.94117,1.10955,1.15138,0.55886,0.68355,0.63907,0.5042,0.83043,1.16253,1.08557,0.00505,0.00505,0.00505
27,1099.07,0.93612,1.10997,1.14175,0.68001,0.64709,0.67238,0.56785,0.75249,1.03741,1.0319,0.004852,0.004852,0.004852
