epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,29.0713,1.55906,2.41341,1.42023,0.20221,0.4266,0.22707,0.13083,1.69407,5.36806,1.80559,0.0701449,0.00331723,0.00331723
2,57.0836,1.62574,2.06747,1.5165,0.44495,0.30581,0.32771,0.1937,1.69733,2.55826,1.74363,0.0400352,0.00654083,0.00654083
3,84.7071,1.54213,1.91648,1.47484,0.45668,0.50359,0.46627,0.28167,1.35096,2.01302,1.40913,0.00981546,0.00965443,0.00965443
4,112.324,1.47018,1.80208,1.43103,0.39607,0.53003,0.45867,0.3023,1.3833,1.72091,1.47208,0.009505,0.009505,0.009505
5,140.082,1.42133,1.68579,1.39727,0.48736,0.52009,0.50838,0.3375,1.448,1.88758,1.50116,0.00934,0.00934,0.00934
6,167.849,1.36999,1.60725,1.36311,0.46936,0.58777,0.50812,0.35146,1.26946,1.64592,1.35638,0.009175,0.009175,0.009175
7,195.477,1.33228,1.53599,1.33214,0.50846,0.53764,0.53891,0.38252,1.17089,1.48605,1.32082,0.00901,0.00901,0.00901
8,223.062,1.27949,1.48929,1.30325,0.58239,0.56826,0.57289,0.3989,1.13593,1.55676,1.26859,0.008845,0.008845,0.008845
9,250.812,1.28167,1.46418,1.31167,0.56163,0.53444,0.53397,0.3864,1.10561,1.45569,1.25993,0.00868,0.00868,0.00868
10,278.635,1.26695,1.42574,1.29074,0.6052,0.64222,0.59352,0.43407,1.17952,1.37082,1.28992,0.008515,0.008515,0.008515
11,308.725,1.23674,1.39858,1.28512,0.54136,0.56144,0.55275,0.40145,1.04277,1.38351,1.27007,0.00835,0.00835,0.00835
12,338.811,1.21842,1.3887,1.26357,0.61942,0.55943,0.55468,0.41398,1.00923,1.33775,1.21437,0.008185,0.008185,0.008185
13,368.116,1.2034,1.34541,1.2638,0.46452,0.61108,0.56448,0.43903,1.05501,1.29555,1.21668,0.00802,0.00802,0.00802
14,398.272,1.17974,1.31215,1.24329,0.64022,0.59056,0.57841,0.44068,1.03525,1.39724,1.22392,0.007855,0.007855,0.007855
15,428.661,1.18312,1.30777,1.24682,0.55726,0.64938,0.63658,0.46296,1.10568,1.29021,1.27849,0.00769,0.00769,0.00769
16,459.162,1.16544,1.30578,1.23393,0.50056,0.64051,0.57047,0.42148,1.01522,1.34146,1.21078,0.007525,0.007525,0.007525
17,489.413,1.14895,1.26811,1.22556,0.58917,0.7282,0.67359,0.50491,0.95285,1.16024,1.14416,0.00736,0.00736,0.00736
18,519.883,1.13175,1.2352,1.2228,0.49357,0.72909,0.61046,0.45767,1.01561,1.19717,1.16856,0.007195,0.007195,0.007195
19,550.424,1.10851,1.21828,1.20603,0.63738,0.66565,0.64756,0.50513,0.90049,1.13022,1.1344,0.00703,0.00703,0.00703
20,580.687,1.11586,1.22407,1.2096,0.61309,0.62361,0.61377,0.47436,0.96156,1.21297,1.15347,0.006865,0.006865,0.006865
21,611.161,1.08669,1.1893,1.19693,0.53862,0.65773,0.58455,0.46912,0.92434,1.18557,1.15255,0.0067,0.0067,0.0067
22,641.342,1.08465,1.18776,1.19132,0.58039,0.66622,0.59634,0.43873,1.03907,1.24721,1.22515,0.006535,0.006535,0.006535
23,671.734,1.07352,1.18685,1.18264,0.56616,0.72051,0.67924,0.52561,0.90126,1.18247,1.16049,0.00637,0.00637,0.00637
24,702.095,1.0813,1.17967,1.19129,0.60809,0.68082,0.63069,0.49459,0.87073,1.15338,1.11695,0.006205,0.006205,0.006205
25,732.515,1.04354,1.14296,1.16468,0.63639,0.72348,0.67567,0.52532,0.88373,1.15686,1.14027,0.00604,0.00604,0.00604
26,762.952,1.04613,1.15859,1.17755,0.66698,0.71666,0.7069,0.54673,0.86456,1.05129,1.12809,0.005875,0.005875,0.005875
27,793.159,1.02972,1.13356,1.16489,0.57218,0.63438,0.62251,0.4853,0.94847,1.18404,1.1716,0.00571,0.00571,0.00571
28,823.41,1.03198,1.11967,1.16397,0.69219,0.72962,0.70286,0.55314,0.8576,1.02291,1.12395,0.005545,0.005545,0.005545
29,853.874,1.02251,1.09843,1.15728,0.61299,0.67317,0.65197,0.48754,0.88824,1.21882,1.11619,0.00538,0.00538,0.00538
30,884.112,1.00727,1.09938,1.14942,0.64312,0.64986,0.68432,0.54219,0.86301,1.04648,1.1101,0.005215,0.005215,0.005215
31,914.623,0.98862,1.0444,1.12958,0.58607,0.71707,0.64746,0.51477,0.85172,1.15071,1.10257,0.00505,0.00505,0.00505
32,945.056,0.99126,1.0708,1.14455,0.63647,0.7394,0.6987,0.541,0.85442,1.04637,1.11917,0.004885,0.004885,0.004885
33,975.181,0.96961,1.03838,1.12706,0.61137,0.69636,0.69292,0.54795,0.82873,1.0389,1.10675,0.00472,0.00472,0.00472
34,1005.66,0.97987,1.03848,1.13069,0.58354,0.73996,0.67927,0.53092,0.87024,1.06154,1.10999,0.004555,0.004555,0.004555
35,1035.8,0.96039,1.03679,1.12306,0.69429,0.6224,0.65569,0.51992,0.81024,1.07239,1.08679,0.00439,0.00439,0.00439
36,1066.4,0.95391,1.00051,1.11457,0.62082,0.75871,0.73618,0.57874,0.83542,0.97512,1.09883,0.004225,0.004225,0.004225
37,1097.26,0.94303,1.01516,1.1145,0.57122,0.65052,0.66034,0.50719,0.84249,1.111,1.11102,0.00406,0.00406,0.00406
38,1127.91,0.95397,1.00143,1.11537,0.65345,0.66792,0.6802,0.53344,0.86211,1.12472,1.09782,0.003895,0.003895,0.003895
39,1158.3,0.93474,0.98426,1.10298,0.62653,0.67303,0.70418,0.56804,0.79776,1.06133,1.07778,0.00373,0.00373,0.00373
40,1188.6,0.93102,0.98591,1.10669,0.60983,0.68719,0.65715,0.542,0.79498,1.04759,1.07094,0.003565,0.003565,0.003565
41,1219.12,0.8958,0.94206,1.08148,0.6459,0.69203,0.71364,0.57787,0.7656,0.98445,1.05806,0.0034,0.0034,0.0034
42,1249.58,0.90122,0.94301,1.08875,0.61776,0.66521,0.68191,0.53465,0.81091,1.05731,1.09976,0.003235,0.003235,0.003235
43,1279.93,0.90948,0.95961,1.09381,0.67159,0.7772,0.74632,0.59617,0.77163,0.98076,1.06136,0.00307,0.00307,0.00307
44,1310.54,0.89463,0.92249,1.08064,0.62119,0.74505,0.68819,0.54856,0.81381,1.01639,1.08186,0.002905,0.002905,0.002905
45,1341.18,0.87814,0.91395,1.07713,0.61558,0.81148,0.73754,0.59269,0.79965,0.96196,1.08723,0.00274,0.00274,0.00274
46,1371.9,0.86359,0.89229,1.06731,0.69859,0.68556,0.68955,0.56069,0.74467,1.01,1.05105,0.002575,0.002575,0.002575
47,1402.59,0.87433,0.89066,1.07829,0.6591,0.63251,0.68155,0.56426,0.73289,0.96373,1.04269,0.00241,0.00241,0.00241
48,1432.78,0.85007,0.87688,1.06601,0.67452,0.69928,0.71199,0.57442,0.74953,0.98177,1.0478,0.002245,0.002245,0.002245
49,1463.25,0.83831,0.86574,1.05762,0.63103,0.74901,0.72974,0.59091,0.74826,0.95067,1.04122,0.00208,0.00208,0.00208
50,1493.41,0.8289,0.84417,1.05333,0.68612,0.70043,0.73521,0.60009,0.73255,0.93173,1.05243,0.001915,0.001915,0.001915
51,1535.29,0.78538,0.78003,1.04185,0.63736,0.72122,0.72643,0.58671,0.72279,0.92568,1.03567,0.00175,0.00175,0.00175
52,1565.06,0.75652,0.73549,1.02674,0.74185,0.67994,0.739,0.59511,0.74601,0.93294,1.05402,0.001585,0.001585,0.001585
53,1594.77,0.73909,0.70764,1.00861,0.69503,0.69653,0.72205,0.59334,0.72305,0.95432,1.03498,0.00142,0.00142,0.00142
54,1624.58,0.72671,0.69351,1.00394,0.73576,0.67148,0.72446,0.58875,0.73241,0.92854,1.0454,0.001255,0.001255,0.001255
55,1654.21,0.70586,0.66789,0.99445,0.66132,0.72101,0.71824,0.58416,0.70332,0.96324,1.03098,0.00109,0.00109,0.00109
56,1684.07,0.68969,0.65375,0.98765,0.66057,0.70684,0.71671,0.59467,0.71717,0.94546,1.04186,0.000925,0.000925,0.000925
